,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4
0,PN53790,Rothenberger Plumbers 9Pce Holesaw Kit (9),Rothenberger,41.8,"Designed for use on metal, wood and plastic, this Rothenberger plumbers hole saw kit contains hole saws in 19, 22, 29, 38, 44 and 57mm sizes. Ideal for making cable runs through studs, plasterboard or other surfaces, using these saws ensures a smart, professional finish. In addition to plumbing and electrical work, these hole saws also provide excellent results anywhere that a hole made by a standard drill 3 jaw chuck is required.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger Plumbers 9Pce Holesaw Kit (9),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/90/NW-N53790_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,
1,PT02744,Rothenberger HSS bi-metal hole cut saw 29mm x 1.1/8in,Rothenberger,5.68,"Compatible with most leading brands, the Rothenberger HSS 29mm x 1 1/8"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger HSS bi-metal hole cut saw 29mm x 1.1/8in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/44/T02744_wm.jpg,,N,Steel,29 mm,1500004820,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction
2,PT02746,Rothenberger HSS bi-metal hole cut saw 38mm x 1.1/2in,Rothenberger,7.35,"Compatible with most leading brands, the Rothenberger HSS 38mm x 1 1/2"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger HSS bi-metal hole cut saw 38mm x 1.1/2in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/46/T02746_wm.jpg,,N,Steel,38 mm,1500004847,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction
3,PT02750,Rothenberger HSS bi-metal hole cut saw 57mm x 2.1/4in,Rothenberger,15.41,"Compatible with most leading brands, the Rothenberger HSS 57mm x 2 1/4"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger HSS bi-metal hole cut saw 57mm x 2.1/4in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/50/T02750_wm.jpg,,N,Steel,57 mm,1500004822,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction
4,PT02753,Rothenberger HSS bi-metal hole cut saw 127mm,Rothenberger,23.97,"Compatible with most leading brands, the Rothenberger HSS 127mm bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger HSS bi-metal hole cut saw 127mm,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/53/T02753_wm.jpg,,N,Steel,127 mm,1500004866,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction
5,PT02749,Rothenberger HSS bi-metal hole cut saw 51mm x 2in,Rothenberger,9.86,"Compatible with most leading brands, the Rothenberger HSS 51mm x 2"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger HSS bi-metal hole cut saw 51mm x 2in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/49/T02749_wm.jpg,,N,Steel,51 mm,1500004849,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction
6,PT02754,Rothenberger HSS bi-metal hole cut saw 152mm,Rothenberger,28.43,"Compatible with most leading brands, the Rothenberger HSS 152mm bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger HSS bi-metal hole cut saw 152mm,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/54/T02754_wm.jpg,,N,Steel,152 mm,1500004737,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction
7,PT02745,Rothenberger HSS bi-metal hole cut saw 35mm x 1.3/8in,Rothenberger,6.74,"Compatible with most leading brands, the Rothenberger HSS 35mm x 1 3/8"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger HSS bi-metal hole cut saw 35mm x 1.3/8in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/45/T02745_wm.jpg,,N,Steel,35 mm,1500004865,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction
8,PT02760,Rothenberger 7x67mm Selfcooling Diamond Drillbit,Rothenberger,26.63,"Filled with a lubricating wax that melts during operation, the Rothenberger 7 x 67mm vacuum brazed diamond tile drill bit is self-cooling, meaning there's no need for a separate coolant such as water to be used.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger 7x67mm Selfcooling Diamond Drillbit,,1x Tile Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/60/T02760_wm.jpg,,N,Steel,25 mm,89097,Self Cooling Diamond Drill Bit,N,Corded and cordless drills,Steel construction,Compatible with corded and cordless drills,Drills at speeds between 800 and 200 RPM,"Filled with lubricating wax, eliminating need for coolant"
9,PT02748,Rothenberger HSS bi-metal hole cut saw 44mm x 1.3/4in,Rothenberger,8.47,"Compatible with most leading brands, the Rothenberger HSS 44mm x 1 3/4"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger HSS bi-metal hole cut saw 44mm x 1.3/4in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/48/T02748_wm.jpg,,N,Steel,44 mm,1500004848,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction
10,PT02747,Rothenberger HSS bi-metal hole cut saw 40mm x 1.9/16in,Rothenberger,7.72,"Compatible with most leading brands, the Rothenberger HSS 40mm x 1 9/16"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Holesaws/Holesaws.csv -> Rothenberger HSS bi-metal hole cut saw 40mm x 1.9/16in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/47/T02747_wm.jpg,,N,Steel,40 mm,1500004821,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction
