,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,P668197,JET Range Condensate FP3380 tank pump - ACR - 1.7ltr,JET Range,93.57,"JET ACR condensate pump offers both high performance and efficiency in a compact, space saving design. Specifically engineered to the requirements on AC units, this pump collects excess condensate water that is produced and discharges it safely up to a maximum head height of 5m. The JET ACR condensate pump also features a non-return valve, a pre-wired safety switch, plug and play connectivity, making it the perfect go to choice for those installations that require a high performing, easy to install and maintain condensate pump.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> JET Range Condensate FP3380 tank pump - ACR - 1.7ltr,,PumpSafety switch1A fuse,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/97/NW-668197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pu/mp/668197_TDS_Jet_ACR_Cond_Pump.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pu/mp/668197_Jet_AC_Condensate_Pump.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_668197_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_AC_Condensate_Pump_Installation.pdf
1,P694024,Aspen Pumps Max Hi-Flow FP3349 condensate removal pump,Aspen Pumps,67.99,"The high performance, hardwearing Aspen Pumps Max Hi-Flow safe tank pump offers a 35L/h flow rate while combining a low dBA rating with high IP rating, making it the quietest and safest unit in its class.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> Aspen Pumps Max Hi-Flow FP3349 condensate removal pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/24/NW-694024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/694024_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Max_Hi_Flow_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_Pumps_Max_Hi_Flow_Technical.pdf,
2,P667847,Aspen Pumps Hi-Lift high lift pump 1litre,Aspen Pumps,157.5,"Ideal for high head applications, the Aspen Pumps Hi-Lift 1L condensate removal pump is a reliable peristaltic tank pump with a 3L/h flow rate at 2M discharge head.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> Aspen Pumps Hi-Lift high lift pump 1litre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/48/NW-667847_667848_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_Pumps_Hi_Lift_1_2L_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_HiLift_1_2L_Installation.pdf,
3,P667591,Aspen Pumps Mini Blanc condensate pump White,Aspen Pumps,98.83,"Easy to install and maintain, the Aspen Pumps Mini Blanc condensate removal pump with ultra-quick fit is intended for fitting underneath a high wall indoor unit, offering almost silent 12L/h operation.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> Aspen Pumps Mini Blanc condensate pump White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/91/NW-667591_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Mini_Blanc_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_667591_Technical.pdf,
4,P667593,Aspen Pumps Silent+ Mini Lime FP3312 condensate pump kit,Aspen Pumps,143.88,"Ideal for commercial use, the Aspen Pumps Silent+ Mini Lime condensate removal pump includes an anti-vibration damper and built-in sound absorbing materials for silent operation. Easy to use thanks to a quick-release reservoir, this pump can be commissioned on-site and operation easily checked using the clever LED system in the reservoir.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> Aspen Pumps Silent+ Mini Lime FP3312 condensate pump kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/94/NW-667593_667594_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Silent+_Mini_Lime_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_S+_MiniLime_Installation.pdf,
5,P667852,Aspen Pumps Mini Tank FP1056/2 mini tank pump,Aspen Pumps,92.56,"Adaptable to suit your needs, the Aspen Pumps mini tank pump can be wall-mounted, floor-mounted, installed in-pan or suspended on M8/M10 rod and offers powerful 35L/h flow rates. Harnessing piston technology, this compact mini tank pump is powerful and discreet at once.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> Aspen Pumps Mini Tank FP1056/2 mini tank pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/52/NW-667852_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Mini_Tank_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_667852_Technical.pdf,
6,P667641,Pump House VCMA LGP sump condensate pump 1.9Ltr,Pump House,142.1,"The proven Pump House VCMA 2L condensate tank pump offers 294L/h flow rates and high levels of reliability. It is ideal for use in cassette air conditioning units, refrigeration units, de-humidifiers and gas boilers.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> Pump House VCMA LGP sump condensate pump 1.9Ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/41/NW-667641_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/667641_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pump_House_VCMA_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,
7,P667607,Aspen Pumps Silent+ Mini Lime FP3316 condensate pump with BBJ trunking,Aspen Pumps,145.33,"Ideal for commercial use, the Aspen Pumps Silent+ Mini Lime SpeediDuct (BBJ) condensate removal pump includes an anti-vibration damper and built-in sound absorbing materials for silent operation. Easy to use thanks to a quick-release reservoir, this pump can be commissioned on-site and operation easily checked using the clever LED system in the reservoir.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> Aspen Pumps Silent+ Mini Lime FP3316 condensate pump with BBJ trunking,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/07/NW-667607_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Silent+_Mini_Lime_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_S+_MiniLime_Installation.pdf,
8,P667534,Aspen Pumps Maxi Lime condensate pump kit Lime,Aspen Pumps,170.13,"Ideal for large commercial high-wall split units, the Aspen Pumps Maxi Lime BBJ (Airco) condensate removal pump is designed for use with larger units and in humid environments, offering a flow rate of 35L/h. The all-in-one system Maxi Lime elbow pump provides additional power when required.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> Aspen Pumps Maxi Lime condensate pump kit Lime,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/34/NW-667534_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_Pumps_Maxi_Lime_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Maxi_Lime_Installation.pdf,
9,P667536,Aspen Pumps Mini Orange condensate pump,Aspen Pumps,97.6,"Highly reliable, this Aspen Pumps Mini Orange 12L/h condensate removal pump is ideal for smaller sized domestic and commercial units.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Condensate Air Conditioner Pumps.csv -> Aspen Pumps Mini Orange condensate pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/36/NW-667536_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Aspen_Pumps_Mini_Maxi_Orange_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_667536_Technical.pdf,
