,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Material Type,Nut Types,Type,Feature 4,Feature 5,Diameter,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Dimensions (L x W x D),Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Colour,Application,Dimensions mm (H x W x D),Pack Type,Bolt Type,Head Type,Feature 15,Feature 16,Feature 17,Feature 18,Weight,Warranty
0,PN38589,Fischer recessed WC and bidet floor fixing kit,Fischer,5.25,"Designed for WC pans and bidets, this Fischer Sanitary Fixings conventional vertical fixing set includes a selection of nylon bushes and cover caps to accommodate different hole shapes and sizes. The included brass screws are suitable for screwing directly into timber floors or with the supplied nylon plugs for use in concrete floors.",Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Fischer recessed WC and bidet floor fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/89/N38589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PIS5483,"Unifix countersunk pozi woodscrew 8mm x 1"" Zinc Plated (Pack of 200)",Unifix,4.16,"Suitable for use in softwood applications, these Unifix TwinQwik 1 x 8"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Unifix countersunk pozi woodscrew 8mm x 1"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/83/NW-IS5483_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PN38588,Fischer recessed basin fixing kit,Fischer,4.59,This Fischer Sanitary Fixings complete fixing set enables fast and easy mounting of wash basins and urinals. The Fischer universal fixing UX without rim is suitable for pre-positioned and push-through installation in all solid or hollow building materials. A collar sleeve is included for infinite alignment.,Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Fischer recessed basin fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/88/N38588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fischer_WST_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/le/Fischer_Urinal_Fixing_Load_Table.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PIS5496,"Unifix countersunk pozi woodscrew 10mm x 2"" Zinc Plated (Pack of 200)",Unifix,8.49,"Suitable for use in softwood applications, these Unifix TwinQwik 2 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Unifix countersunk pozi woodscrew 10mm x 2"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/96/NW-IS5496_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PIS5599,JCP metal plasterboard fixing 15 x 35mm (Pack of 100),JCP,21.25,"Ideal for fastening light/medium loads to plasterboard, these JCP one-piece self-drilling anchors are simply screwed in using a manual or powered screwdriver. The point of the anchors drill a pilot hole, then a coarse, helical thread bites into the plasterboard substrate. Separate screws are used to mount the fixture.",Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> JCP metal plasterboard fixing 15 x 35mm (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/99/NW-IS5599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JCP_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JCP_J_Plug_Plasterboard_Fixing_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PIS5499,"Unifix countersunk pozi woodscrew 10mm x 3"" Zinc Plated (Pack of 100)",Unifix,7.49,"Suitable for use in softwood applications, these Unifix TwinQwik 3 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Unifix countersunk pozi woodscrew 10mm x 3"" Zinc Plated (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/99/NW-IS5498_IS5499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PN51727,Owlett Jaton Premium plastic plugs 7mm Brown (Pack of 100),Owlett Jaton,3.8,These JCP Premium 7mm brown wall plugs are made of high density polyethylene and are suitable for placing wood screws into concrete and masonry base materials.,Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Owlett Jaton Premium plastic plugs 7mm Brown (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/27/NW-N51727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Premium_Plug_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PN38586,Fischer recessed WC and bidet fixing kit (2),Fischer,5.25,"Containing all the fittings you'll need for horizontal fitting of freestanding toilets and bidets, this Fischer Sanitary Fixings WB 5N WC fixing set includes an assembly bracket with pre-drilled rows of holes for flexible fixing in two directions. The set contains two Fischer SX 10 high quality nylon plugs, two 7 x 60 screws with integral washers, two nylon brackets, two 5 x 45 stainless steel screws and two chrome cover caps.",Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Fischer recessed WC and bidet fixing kit (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/86/N38586_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PN38591,Fischer recessed wall mount basin fixing kit 8 x 100,Fischer,5.49,This Fischer Sanitary Fixings complete fixing set enables fast and easy mounting of wash basins and urinals. The Fischer universal fixing UX without rim is suitable for pre-positioned and push-through installation in all solid or hollow building materials.,Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Fischer recessed wall mount basin fixing kit 8 x 100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/91/NW-N38591_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fischer_WD_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/le/Fischer_Urinal_Fixing_Load_Table.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P459036,"Regin fibre washers 3/4""",Regin,2.48,"These Regin 24 x 1.5mm diverter valve washers, with 17.3mm inside diameter, are made of a general purpose commercial non-asbestos fibre material suitable for oils, fuels, low pressure steam and water. These washers offer excellent resistance to gas leakage.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Regin fibre washers 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/36/NW-459035_459036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PIS5501,"Unifix countersunk pozi woodscrew 10mm x 4"" Zinc Plated (Pack of 100)",Unifix,9.49,"Suitable for use in softwood applications, these Unifix TwinQwik 4 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Unifix countersunk pozi woodscrew 10mm x 4"" Zinc Plated (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/01/NW-IS5501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PS00288,Fischer metal cavity fixing 5 x 37mm (20),Fischer,5.99,"Versatile fixings with metric screws, these Fischer HM-S cavity metal anchors are suitable for all panel building materials, fixing lights, towel rails and curtain rails. Set with Fischer installation pliers HM-Z 1 in pre-positioned installation, these fixings are pulled into the cavity against the board building material with pliers, expanding arms swinging open to press onto the reverse side of the board. As an alternative, assembly can be carried out with a screwdriver.",Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Fischer metal cavity fixing 5 x 37mm (20),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/88/NW-S00288_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/le/Fischer_Cavity_Fixing_HM_Load_Table.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P257451,"Center ball valve diaphram washer 1 1/4"" (5)",Center,0.77,"Ideal for the repair of a leaking toilet cistern inlet float valve, these Center 1 1/4"" ball valve diaphragm washers provide highly effective sealing of an inlet valve after every flush.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Center ball valve diaphram washer 1 1/4"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/51/257451_wm.jpg,,,,,5,N,Rubber,1.1/4,5,N/A,PPSINS374501,N,Pack of 5,Thermoplastic rubber construction,"For quick, easy installation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PIS5494,"Unifix countersunk pozi woodscrew 10mm x 1.1/2"" Zinc Plated (Pack of 200)",Unifix,7.5,"Suitable for use in softwood applications, these Unifix TwinQwik 1 1/2 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Unifix countersunk pozi woodscrew 10mm x 1.1/2"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/94/NW-IS5492_IS5494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PIS5498,"Unifix countersunk pozi woodscrew 10mm x 2.1/2"" Zinc Plated (Pack of 100)",Unifix,6.25,"Suitable for use in softwood applications, these Unifix TwinQwik 2 1/2 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Unifix countersunk pozi woodscrew 10mm x 2.1/2"" Zinc Plated (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/99/NW-IS5498_IS5499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P257457,Center Washers rubber trap washer 1 1/2 (5),Center,1.4,"This pack of 2mm thickness Center 1 1/2"" rubber trap washers are suitable for replacing worn washers on trap inlets.",Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Center Washers rubber trap washer 1 1/2 (5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/57/257457_wm.jpg,,,,,5,N,Rubber,1 1/2,5,Trap Washer,PPSTAP374520,N,Pack of 5,Rubber construction,,Washers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P459035,"Regin fibre washers 1/2 """,Regin,2.48,"These Regin 18.5 x 1.5mm diverter valve washers, with 14.2mm inside diameter, are made of a general purpose commercial non-asbestos fibre material suitable for oils, fuels, low pressure steam and water. These washers offer excellent resistance to gas leakage.","Trade Essentials/Fixings and Fasteners/Fixings and Fasteners.csv -> Regin fibre washers 1/2 """,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/36/NW-459035_459036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
